,bookID,title,authors,average_rating,  num_pages,ratings_count,text_reviews_count,publication_date
20,29,The Mother Tongue: English and How It Got That Way,Bill Bryson,3.93,270,28489,2085,9/28/1991
21,30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.59,1728,101233,1550,9/25/2012
22,31,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.5,1184,1710,91,10/21/2004
23,34,The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,4.36,398,2128944,13670,9/5/2003
24,35,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien/Alan  Lee,4.5,1216,1618,140,10/1/2002
25,36,The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor,4.53,218,19822,46,11/5/2003
26,37,The Lord of the Rings: Complete Visual Companion,Jude Fisher,4.5,224,359,6,11/15/2004
27,45,Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,3.84,558,1430,59,7/28/2005
28,50,Hatchet (Brian's Saga  #1),Gary Paulsen,3.72,208,270244,12017,4/1/2000
29,51,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes/Edward Sciranko/Keith Vasconcelles,4,48,36,2,8/28/1994
30,53,Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,3.88,144,2067,334,1/23/2001
31,54,Molly Hatchet - 5 of the Best,Molly Hatchet,4.33,56,6,0,6/10/2003
32,55,Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,3.45,228,99,16,11/1/2005
33,57,A Changeling for All Seasons (Changeling Seasons #1),Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,3.76,304,167,4,11/1/2005
34,58,Changeling (Changeling  #1),Delia Sherman,3.6,256,978,111,8/17/2006
35,59,The Changeling Sea,Patricia A. McKillip,4.06,137,4454,302,4/14/2003
36,61,The Changeling,Zilpha Keatley Snyder,4.17,228,1176,96,6/8/2004
37,63,The Changeling,Kate Horsley,3.55,339,301,43,4/12/2005
38,66,The Changeling (Daughters of England  #15),Philippa Carr,3.98,369,345,12,8/28/1990
39,67,The Known World,Edward P. Jones,3.83,388,29686,2626,8/29/2006
40,68,The Known World,Edward P. Jones/Kevin R. Free,3.83,14,55,12,6/15/2004
41,69,The Known World,Edward P. Jones,3.83,576,22,3,6/15/2004
42,71,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,3.83,334,1456,82,5/15/2006
43,72,Artesia: Adventures in the Known World,Mark Smylie,4.13,352,52,4,12/14/2005
44,74,The John McPhee Reader (John McPhee Reader  #1),John McPhee/William Howarth,4.42,416,562,37,6/1/1982
45,75,Uncommon Carriers,John McPhee,3.95,248,1630,203,5/16/2006
46,76,Heirs of General Practice,John McPhee,4.17,128,268,22,4/1/1986
47,77,The Control of Nature,John McPhee,4.24,288,3498,305,9/1/1990
48,78,Annals of the Former World,John McPhee,4.34,720,3115,228,1/6/1999
49,79,Coming Into the Country,John McPhee,4.22,448,5704,261,4/1/1991
51,81,Giving Good Weight,John McPhee,4.23,288,542,36,4/1/1994
52,83,Rising from the Plains,John McPhee,4.23,208,1341,98,11/1/1987
53,85,The Heidi Chronicles,Wendy Wasserstein,3.75,81,1423,70,3/1/2002
54,86,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,3.84,249,2766,64,7/2/1991
55,89,Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs,3.94,138,31,1,3/29/2006
56,90,Simply Beautiful Beaded Jewelry,Heidi Boyd,3.77,128,62,4,3/14/2006
57,91,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker/Rolland Baker,4.46,192,860,53,9/1/2003
58,92,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,3.68,108,77,2,1/28/1997
59,93,Heidi (Heidi  #1-2),Johanna Spyri/Beverly Cleary/Angelo  Rinaldi,3.99,352,153317,2257,11/15/2002
60,94,Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,3.25,192,55,5,11/15/2004
61,96,There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker/Heidi Baker,4.46,192,34,6,4/28/2003
62,98,What to Expect the First Year (What to Expect),Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome,3.89,832,11797,659,10/16/2003
63,99,The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss/Libby Keatinge,3.82,123,34,8,5/10/2004
64,100,Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,3.78,128,78,4,8/19/2004
65,103,God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,3.84,423,2785,166,6/15/1987
66,105,Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,3.91,436,38778,568,7/1/1987
67,106,Dune Messiah (Dune Chronicles #2),Frank Herbert,3.88,331,97494,2359,7/15/1987
68,107,Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,4.01,592,784,21,7/1/2004
69,109,Heretics of Dune (Dune Chronicles  #5),Frank Herbert,3.86,480,272,20,4/16/1984
70,110,The Road to Dune,Frank Herbert/Brian Herbert/Kevin J. Anderson,3.88,426,4789,83,8/29/2006
71,117,Heretics of Dune (Dune Chronicles #5),Frank Herbert,3.86,471,45388,644,8/15/1987
72,119,The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell,4.59,192,26153,102,6/12/2002
73,122,The Power of One (The Power of One  #1),Bryce Courtenay,4.35,544,69167,4551,9/29/1996
74,123,The Power of One (The Power of One  #1),Bryce Courtenay,4.35,291,45,13,9/13/2005
75,129,The Power of One: One Person  One Rule  One Month,John C. Maxwell/Stephen R. Graves/Thomas G. Addington,4.28,256,16,1,11/1/2004
76,130,Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,3.34,205,174,16,5/19/2006
77,131,The Power of One: The Solo Play for Playwrights  Actors  and Directors,Louis E. Catron,3.67,240,10,0,2/7/2000
78,132,How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,3.48,336,76,9,5/3/2005
79,133,eBay for Dummies,Marsha Collier,3.5,386,111,9,10/30/2006
80,135,What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta/Lisa Suttora,3.62,260,24,0,1/24/2006
81,137,Starting an eBay Business for Dummies,Marsha Collier,3.55,384,55,4,9/17/2004
82,138,eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,4.27,260,9,0,6/6/2006
83,139,ebay Timesaving Techniques for Dummies,Marsha Collier,3.39,391,22,1,5/31/2004
84,140,eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,3.89,864,17,3,4/25/2005
85,141,Ruby Cookbook,Lucas Carlson/Leonard Richardson,3.84,873,166,4,7/29/2006
86,142,Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,4.12,240,50,5,5/3/2005
87,144,Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,4.08,206,13,2,5/3/2005
88,147,Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini,3.48,514,64,1,1/1/2007
89,151,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,4.05,838,16643,1851,5/31/2004
90,152,Anna Karenina,Leo Tolstoy/David Magarshack/Priscilla Meyer,4.05,960,109420,5696,11/5/2002
91,153,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley,4.05,837,2904,309,1/30/2003
92,154,CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman/Leo Tolstoy,3.85,80,16,3,11/26/1965
93,155,Anna Karenina,Leo Tolstoy/Amy Mandelker/Constance Garnett,4.05,803,9564,726,7/1/2003
94,156,Anna Karenina,Leo Tolstoy/Louise Maude/Aylmer Maude,4.05,752,474,72,11/23/2004
95,157,Anna Karenina,Leo Tolstoy/Constance Garnett/Amy Mandelker,4.05,803,303,48,8/26/2004
96,159,Dinner with Anna Karenina,Gloria Goldreich,2.99,360,411,65,1/28/2006
97,160,Tolstoy: Anna Karenina,Anthony Thorlby,4.19,128,1204,33,11/26/1987
98,162,Untouchable,Mulk Raj Anand/E.M. Forster,3.71,160,3429,279,7/3/1990
99,163,The Untouchable,John Banville,3.95,367,2163,216,6/30/1998
100,164,The Untouchables,Eliot Ness/Oscar Fraley,3.89,256,613,31,2/1/1996
101,165,Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav,3.82,320,308,40,9/27/2005
102,166,Dalit: The Black Untaouchables of India,V.T. Rajshekar/Y.N. Kly,4.2,100,10,0,1/28/1995
103,168,Growing Up Untouchable in India: A Dalit Autobiography,Vasant Moon/Gail Omvedt/Eleanor Zelliot,3.65,224,16,4,12/20/2000
104,171,The Evidence-Based Social Work Skills Book,Barry R. Cournoyer,3.4,216,10,0,9/22/2003
105,177,"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",John Carratello/Patty Carratello/Theresa Wright,4,48,17,0,9/28/1991
106,180,Wrinkles in Time,George Smoot/Keay Davidson,4.01,360,1035,23,10/1/1994
107,181,A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),Madeleine L'Engle,4,250,36,6,5/1/2002
108,182,Literature Circle Guide: A Wrinkle in Time,Tara MacCarthy,3.6,32,15,0,1/1/2002
110,204,The Long Shadow (The Morland Dynasty  #6),Cynthia Harrod-Eagles,4.12,367,376,17,6/1/1994
111,205,A Long Shadow (Inspector Ian Rutledge  #8),Charles Todd,4.11,352,3086,237,1/3/2006
112,207,Long Way Round: Chasing Shadows Across the World,Ewan McGregor/Charley Boorman/Robert Uhlig,3.94,320,352,44,11/1/2005
113,208,A Shadow in Summer (Long Price Quartet  #1),Daniel Abraham,3.6,331,9852,633,3/7/2006
114,213,New Hope for the Dead (Hoke Mosely #2),Charles Willeford/James Lee Burke,3.9,244,821,78,8/10/2004
115,214,Sideswipe: A Hoke Moseley Novel,Charles Willeford/Lawrence Block,4.05,215,731,72,3/8/2005
116,216,Miami Blues (Hoke Moseley #1),Charles Willeford/Elmore Leonard,3.94,191,2897,178,8/10/2004
117,230,The Burnt Orange Heresy (Vintage Crime/Black Lizard),Charles Willeford,3.89,144,98,11,10/3/1990
118,231,I am Charlotte Simmons,Tom Wolfe,3.42,738,20888,1688,8/30/2005
119,237,Poetry for Young People: Edward Lear,Edward Lear/Laura Huliska-Beith/Edward Mendelson,3.91,48,66,19,10/1/2001
120,244,The Puffin Book of Nonsense Verse,Quentin Blake,4.02,287,81,6,10/3/1996
121,245,Henry Miller on Writing,Henry Miller/Thomas H. Moore,4.22,217,981,52,2/1/1964
122,247,Quiet Days in Clichy,Henry Miller,3.69,154,3381,141,1/13/1994
123,249,Tropic of Cancer,Henry Miller/Jiří Níl,3.68,318,53206,2376,1/6/1994
124,250,Tropic of Capricorn,Henry Miller,3.78,348,14872,459,1/13/1994
125,251,Nexus (The Rosy Crucifixion  #3),Henry Miller,4.1,316,3261,58,1/13/1994
126,252,Sexus (The Rosy Crucifixion  #1),Henry Miller,3.98,506,7805,251,1/12/1994
127,253,The Air-Conditioned Nightmare,Henry Miller,3.83,292,2699,142,1/17/1970
128,264,The Portrait of a Lady,Henry James/Patricia Crick,3.78,797,61640,1951,9/30/2003
129,269,The Portrait of a Lady,Henry James/Gabriel Brownstein/Mary Cregan,3.78,635,392,41,1/16/2004
130,277,Writing,Marguerite Duras,3.75,91,778,44,5/6/1999
131,278,The War,Marguerite Duras/Barbara Bray,3.85,192,963,65,8/1/1994
132,280,The Ravishing of Lol Stein,Marguerite Duras/Richard Seever,3.66,181,2057,128,3/12/1986
133,285,Love Letters,Kahlil Gibran/Suheil Bushrui/Salma H. Al-Kuzbari,3.68,178,203,8,7/1/1999
134,288,Kahlil Gibran: His Life and World,Jean Gibran/جبران خليل جبران/Kahlil Gibran,4.21,464,35,2,4/1/1998
135,289,The Beloved: Reflections on the Path of the Heart,Kahlil Gibran/John Walbridge/Robin Waterfield,4.19,102,328,16,1/1/1998
136,290,Jesus the Son of Man,Kahlil Gibran/جبران خليل جبران,3.98,216,1308,82,2/21/1995
137,291,The Broken Wings,Kahlil Gibran/جبران خليل جبران/Anthony Rizcallah Ferris,3.92,132,6432,517,3/3/2003
138,292,Sand and Foam,Kahlil Gibran/جبران خليل جبران,4.08,100,3015,217,6/14/2011
139,295,Treasure Island,Robert Louis Stevenson,3.83,311,318753,6734,9/15/2001
140,296,Treasure Island,Robert Louis Stevenson/Scott McKowen,3.83,213,420,42,10/1/2004
141,297,Treasure Island,Robert Louis Stevenson,3.83,245,5967,276,6/1/2005
142,298,Treasure Island,Robert Louis Stevenson/N.C. Wyeth/Timothy Meis,3.83,64,104,14,7/1/2003
143,299,Treasure Island,Robert Louis Stevenson/Milo Winter,3.83,272,56,4,9/3/2002
144,302,Treasure Island (Great Illustrated Classics),Deidre S. Laiken/A.J. McAllister/Robert Louis Stevenson,4.05,232,91,16,1/31/2006
145,313,100 Years of Lynchings,Ralph Ginzburg,4.61,270,88,4,11/22/1996
147,330,On Beyond Zebra!,Dr. Seuss,4.04,64,2815,164,9/12/1955
148,332,The Wedding Clause,Debbie Raleigh,3.6,256,95,13,6/7/2005
149,333,The Zebra Wall,Kevin Henkes,3.44,147,217,24,2/15/2005
151,348,The Door Into Summer,Robert A. Heinlein,4.01,304,17232,649,6/17/1997
152,350,Stranger in a Strange Land,Robert A. Heinlein,3.92,528,251872,6241,10/1/1991
153,354,To Sail Beyond the Sunset,Robert A. Heinlein,3.87,434,10293,193,6/1/1988
154,355,Job: A Comedy of Justice,Robert A. Heinlein,3.78,439,15970,438,10/12/1985
155,356,Time for the Stars (Heinlein's Juveniles  #10),Robert A. Heinlein,3.97,256,6898,200,8/8/2006
156,357,The Long Dark Tea-Time of the Soul (Dirk Gently  #2),Douglas Adams,4.06,307,67803,1401,2/15/1991
157,359,The Salmon of Doubt (Dirk Gently  #3),Douglas Adams,3.93,298,22091,746,4/26/2005
158,362,Wish You Were Here: The Official Biography of Douglas Adams,Nick  Webb,4.14,368,2623,49,12/27/2005
159,367,Douglas Adams's Starship Titanic,Terry Jones,3.6,256,885,84,10/27/1998
160,377,Salmon of Doubt: Hitchhiking the Galaxy One Last Time,Douglas Adams/Christopher Cerf,3.93,336,5,0,7/1/2003
161,382,The Phantom Tollbooth: A Children's Play in Two Acts,Susan Nanus/Norton Juster,4.13,72,100,13,1/12/2011
162,385,On Bullshit,Harry G. Frankfurt,3.57,67,9358,995,1/30/2005
163,386,Another Bullshit Night in Suck City,Nick Flynn,3.78,347,9318,907,9/12/2005
164,394,Lincoln at Gettysburg: The Words That Remade America,Garry Wills,4.14,317,120,15,6/12/1993
165,397,The Gettysburg Address,Abraham Lincoln/Michael McCurdy,4.53,32,5239,76,2/2/1998
166,399,Underworld,Don DeLillo,3.92,827,1505,175,7/9/1998
167,400,Libra,Don DeLillo,3.99,480,11857,564,5/1/1991
168,403,Americana,Don DeLillo,3.43,377,393,55,7/6/1989
169,404,Running Dog,Don DeLillo,3.43,256,1356,72,7/17/1989
170,406,Cosmopolis,Don DeLillo,3.22,224,460,41,4/6/2004
171,407,Great Jones Street,Don DeLillo,3.48,272,2492,145,1/1/1994
172,408,The Names,Don DeLillo,3.64,339,3100,212,7/17/1989
173,409,Against the Day,Thomas Pynchon,4.13,1085,5296,587,11/21/2006
174,410,V.,Thomas Pynchon,3.96,547,1415,177,7/5/2005
175,411,The Crying of Lot 49,Thomas Pynchon,3.69,152,2161,230,4/1/1999
176,412,Gravity's Rainbow,Thomas Pynchon,4.01,784,762,213,1/1/2000
177,413,Mason & Dixon,Thomas Pynchon/Christophe Claro/Brice Matthieussent,4.07,773,8086,602,1/3/2004
178,414,Vineland,Thomas Pynchon,3.69,385,702,69,9/1/1997
179,415,Gravity's Rainbow,Thomas Pynchon,4.01,776,29764,2164,10/31/2006
180,416,Slow Learner: Early Stories,Thomas Pynchon,3.5,193,334,34,4/30/1985
181,418,Been Down So Long It Looks Like Up To Me,Richard Fariña/Thomas Pynchon,3.8,352,2473,220,8/29/1996
182,420,The Year of Magical Thinking,Joan Didion,3.89,227,2656,336,10/4/2005
183,421,The White Album,Joan Didion,4.17,222,11889,738,10/1/1990
184,422,A Book of Common Prayer,Joan Didion,3.8,272,2962,255,4/11/1995
185,423,Where I Was From,Joan Didion,3.86,240,2842,292,9/14/2004
186,424,Slouching Towards Bethlehem,Joan Didion,4.21,238,26934,1825,10/1/1990
187,425,Democracy,Joan Didion,3.81,234,2070,169,4/25/1995
188,426,We Tell Ourselves Stories in Order to Live: Collected Nonfiction,Joan Didion/John Leonard,4.5,1122,1564,108,10/17/2006
189,428,Play It As It Lays,Joan Didion/David Thomson,3.87,231,23656,1706,11/15/2005
190,431,The New York Trilogy,Paul Auster/Art Spiegelman/Luc Sante,3.89,308,43200,1873,3/28/2006
191,432,City of Glass (The New York Trilogy  #1),Paul Auster,3.79,203,12410,734,4/7/1987
192,434,Ghosts (The New York Trilogy  #2),Paul Auster,3.64,96,3672,195,7/7/1987
193,435,The Locked Room (The New York Trilogy  #3),Paul Auster,3.89,179,2998,164,11/1/1986
194,444,Pyramids of Montauk: Explorations in Consciousness,Peter Moon/Preston B. Nichols/Nina Helms,3.89,256,74,2,1/1/1995
195,446,The Brooklyn Follies,Paul Auster,3.84,306,17977,1157,10/17/2006
196,447,Moon Palace,Paul Auster,3.94,320,16099,503,4/1/1990
197,453,The Music of Chance,Paul Auster,3.9,217,361,36,12/1/1991
198,454,Travels in the Scriptorium,Paul Auster,3.23,145,6688,562,1/23/2007
199,456,Leviathan,Paul Auster,3.96,275,11744,443,9/1/1993
200,463,The Red Notebook: True Stories,Paul Auster,3.77,104,2390,120,6/17/2002
202,475,Collapse: How Societies Choose to Fail or Succeed,Jared Diamond,3.93,608,52522,2780,12/27/2005
203,476,The Coming Economic Collapse: How You Can Thrive When Oil Costs $200 a Barrel,Stephen Leeb/Glen C. Strathy,3.4,211,213,26,2/1/2006
204,477,Collapse of Complex Societies,Joseph A. Tainter,4.15,262,719,86,3/29/1990
205,478,Bowling Alone: The Collapse and Revival of American Community,Robert D. Putnam,3.8,544,4762,512,8/7/2001
206,481,The Collapse of the Common Good: How America's Lawsuit Culture Undermines Our Freedom,Philip K. Howard,3.91,272,62,4,1/29/2002
207,484,Reinventing the Enemy's Language: Contemporary Native Women's Writings of North America,Joy Harjo/Gloria Bird/Beth Cuthand/Valerie Martinez/Patricia Blanco,4.39,576,278,20,9/17/1998
208,493,My Inventions,Nikola Tesla,4.01,88,2862,262,5/17/2006
209,494,Wizard: The Life and Times of Nikola Tesla: Biography of a Genius,Marc J.  Seifer/William H. Terbo,3.78,542,2829,334,2/1/2001
210,497,Nikola Tesla: A Spark of Genius,Carol Dommermuth-Costa,3.93,144,105,5,10/1/1994
211,498,Tesla Papers,Nikola Tesla/David Hatcher Childress,4.13,100,102,2,12/1/2000
212,511,Boys of Summer,Julie Elizabeth Leto/Leslie Kelly/Kimberly Raye,3.77,249,478,12,6/27/2006
213,515,Programming Ruby: The Pragmatic Programmers' Guide,Dave Thomas/Chad Fowler/Andy Hunt,4.03,828,1577,49,10/11/2004
214,523,Golding's Lord of the Flies (Cliffs Notes),Maureen Kelly/CliffsNotes/William Golding,3.95,112,73,8,6/13/2000
215,524,Lord of the Flies,William Golding,3.68,6,408,96,10/11/2005
216,531,A War Like No Other: How the Athenians & Spartans Fought the Peloponnesian War,Victor Davis Hanson,4.11,397,1693,100,9/12/2006
217,534,We Were Not Like Other People,Ephraim Sevela/Antonina W. Bouis,4.14,216,1,0,1/1/1989
218,537,The Lovely Bones,Alice Sebold,3.81,328,6485,966,6/1/2003
219,538,The Lovely Bones,Alice Sebold,3.81,532,367,73,4/1/2004
220,539,Lovely in Her Bones (Elizabeth MacPherson  #2),Sharyn McCrumb,3.8,224,1371,43,5/13/1990
221,565,The Zen of CSS Design: Visual Enlightenment for the Web,Dave Shea/Molly E. Holzschlag,3.98,296,793,28,2/17/2005
222,570,HTML  XHTML  and CSS (Visual Quickstart Guide),Elizabeth Castro,3.8,456,549,42,8/1/2006
224,597,Killing Yourself to Live: 85% of a True Story,Chuck Klosterman,3.81,245,26381,1109,6/13/2006
225,599,Sex  Drugs  and Cocoa Puffs: A Low Culture Manifesto,Chuck Klosterman,3.73,272,62089,3324,7/2/2004
226,619,Vice (V  #8),Jane Feather,3.51,419,474,19,5/2/1996
227,629,Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus  #1),Robert M. Pirsig,3.77,540,166046,6446,4/25/2006
228,639,Once Upon a Cool Motorcycle Dude,Kevin O'Malley/Carol Heyer/Scott Goto,4.08,32,1773,274,4/1/2005
229,642,Guidebook to Zen and the Art of Motorcycle Maintenance,Ronald L. DiSanto/Thomas J. Steele,3.72,408,286,10,11/19/1990
230,643,Motorcycle Basics Techbook,John Harold Haynes,3.85,222,40,2,7/5/2002
231,650,LOGO Lounge: 2 000 International Identities by Leading Designers,Catharine M. Fishel/Bill Gardner,3.93,191,27,0,9/1/2004
232,655,The Death of Ivan Ilych And Other Stories,Leo Tolstoy/Hugh McLean,4.11,304,7300,266,4/1/2003
233,656,War and Peace,Leo Tolstoy/Henry Gifford/Aylmer Maude/Louise Maude,4.11,1392,211671,6245,6/25/1998
234,658,The Kingdom of God Is Within You,Leo Tolstoy/Constance Garnett,4.13,352,2403,210,9/8/2006
235,662,Atlas Shrugged,Ayn Rand/Leonard Peikoff,3.69,1168,322483,14702,8/1/1999
236,663,For the New Intellectual: The Philosophy of Ayn Rand,Ayn Rand,3.68,224,2750,108,12/1/1963
237,664,The Fountainhead,Ayn Rand,3.87,752,1886,229,4/26/2005
238,665,The Virtue of Selfishness: A New Concept of Egoism,Ayn Rand/Nathaniel Branden,3.51,176,11462,467,11/1/1964
239,667,Anthem,Ayn Rand,3.63,105,110952,7277,12/1/1999
240,668,We the Living,Ayn Rand/Leonard Peikoff,3.91,464,23199,1086,1/1/1996
241,669,Capitalism: The Unknown Ideal,Ayn Rand/Nathaniel Branden/Alan Greenspan/Robert Hessen,3.88,340,3501,153,7/15/1986
242,670,Letters of Ayn Rand,Ayn Rand/Michael S. Berliner/Leonard Peikoff,3.96,681,18,2,2/1/1997
243,672,Sailing for Dummies,J.J. Isler/Peter Isler,3.95,416,150,7,6/1/2006
244,675,Sailing from Byzantium: How a Lost Empire Shaped the World,Colin  Wells,3.88,368,646,83,7/25/2006
245,676,Sailing Alone Around the Room: New and Selected Poems,Billy Collins,4.23,192,12180,630,9/17/2002
246,678,The Greatest Sailing Stories Ever Told: Twenty-Seven Unforgettable Stories,Christopher Caswell,3.62,286,51,5,4/1/2004
247,681,"Natural Cures ""They"" Don't Want You to Know about",Kevin Trudeau,3.09,571,1601,284,1/1/2004
248,685,The Natural,Bernard Malamud/Kevin Baker,3.63,231,8854,672,7/7/2003
249,698,Digging to America,Anne Tyler,3.55,277,17155,1841,5/2/2006
250,700,Rereading America: Cultural Contexts for Critical Thinking and Writing,Gary Colombo/Bonnie Lisle,3.77,826,44,3,1/21/2004
251,702,Modern Latin America,Thomas E. Skidmore/Peter H. Smith,3.59,528,234,11,10/7/2004
252,703,The Plot Against America,Philip Roth,3.77,391,33321,2925,9/27/2005
253,707,Naked Pictures of Famous People,Jon   Stewart,3.59,164,8703,417,9/22/1999
254,759,Collected Stories,Gabriel García Márquez/Gregory Rabassa/J.S. Bernstein,4.19,352,6375,179,5/13/2008
258,765,Living to Tell the Tale,Gabriel García Márquez/Edith Grossman,3.99,533,397,47,10/12/2004
260,771,The Elegant Universe: Superstrings  Hidden Dimensions  and the Quest for the Ultimate Theory,Brian Greene,4.07,425,32569,1058,9/2/2004
261,775,Pure and Simple: The Extraordinary Teachings of a Thai Buddhist Laywoman,Upasika Kee Nanayon/Thanissaro Bhikkhu,4.29,288,37,6,5/15/2005
262,787,The Mini Rough Guide to London,Rob Humphreys/Beth Chaplin/Rebecca Morrill,3.75,363,1,0,4/1/2006
263,793,Best of London (Lonely Planet Best Of),Lonely Planet/Sarah Johnstone/Steve Fallon,3.83,128,11,0,9/1/2004
265,799,Out to Eat London 2002 (Lonely Planet Out to Eat),Lonely Planet/Mark Honan,0,295,0,0,9/1/2001
266,815,Three Nights in August: Strategy  Heartbreak  and Joy Inside the Mind of a Manager,H.G. Bissinger,3.88,287,6870,237,4/4/2006
267,816,Cryptonomicon,Neal Stephenson,4.25,1139,83184,4249,11/1/2002
269,822,The Confusion (The Baroque Cycle  #2),Neal Stephenson,4.26,815,19320,565,6/14/2005
270,823,Quicksilver (The Baroque Cycle  #1),Neal Stephenson,3.93,927,30872,1735,9/21/2004
271,824,The Cobweb,Neal Stephenson/J. Frederick George,3.61,448,2465,137,5/31/2005
